GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
8600000US06390,6390,ZCTA5 06390,307,121
8600000US10001,10001,ZCTA5 10001,20579,1027
8600000US10002,10002,ZCTA5 10002,80323,2259
8600000US10003,10003,ZCTA5 10003,56614,2161
8600000US10004,10004,ZCTA5 10004,2780,511
8600000US10005,10005,ZCTA5 10005,5724,627
8600000US10006,10006,ZCTA5 10006,2696,417
8600000US10007,10007,ZCTA5 10007,6188,563
8600000US10009,10009,ZCTA5 10009,62397,1899
8600000US10010,10010,ZCTA5 10010,29396,1574
8600000US10011,10011,ZCTA5 10011,51853,1605
8600000US10012,10012,ZCTA5 10012,24703,1490
8600000US10013,10013,ZCTA5 10013,26090,1531
8600000US10014,10014,ZCTA5 10014,30893,1330
8600000US10016,10016,ZCTA5 10016,52624,1912
8600000US10017,10017,ZCTA5 10017,16137,1027
8600000US10018,10018,ZCTA5 10018,6147,653
8600000US10019,10019,ZCTA5 10019,40351,1519
8600000US10020,10020,ZCTA5 10020,0,12
8600000US10021,10021,ZCTA5 10021,42646,2215
8600000US10022,10022,ZCTA5 10022,29317,1259
8600000US10023,10023,ZCTA5 10023,60447,2385
8600000US10024,10024,ZCTA5 10024,58991,1935
8600000US10025,10025,ZCTA5 10025,96449,2603
8600000US10026,10026,ZCTA5 10026,36797,1704
8600000US10027,10027,ZCTA5 10027,61018,1989
8600000US10028,10028,ZCTA5 10028,45799,1816
8600000US10029,10029,ZCTA5 10029,79031,2425
8600000US10030,10030,ZCTA5 10030,29364,1868
8600000US10031,10031,ZCTA5 10031,59708,2054
8600000US10032,10032,ZCTA5 10032,61650,2448
8600000US10033,10033,ZCTA5 10033,57073,2062
8600000US10034,10034,ZCTA5 10034,41200,1827
8600000US10035,10035,ZCTA5 10035,34709,1677
8600000US10036,10036,ZCTA5 10036,22413,1060
8600000US10037,10037,ZCTA5 10037,17099,1037
8600000US10038,10038,ZCTA5 10038,20042,1052
8600000US10039,10039,ZCTA5 10039,25372,1264
8600000US10040,10040,ZCTA5 10040,43650,1831
8600000US10044,10044,ZCTA5 10044,12311,832
8600000US10065,10065,ZCTA5 10065,32807,1531
8600000US10069,10069,ZCTA5 10069,5359,965
8600000US10075,10075,ZCTA5 10075,24148,1649
8600000US10103,10103,ZCTA5 10103,0,12
8600000US10110,10110,ZCTA5 10110,3,3
8600000US10111,10111,ZCTA5 10111,0,12
8600000US10112,10112,ZCTA5 10112,0,12
8600000US10115,10115,ZCTA5 10115,0,12
8600000US10119,10119,ZCTA5 10119,0,12
8600000US10128,10128,ZCTA5 10128,59443,1909
