GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US12118,12118,ZCTA5 12118,5865,317,3705,243,2807,222,2160,297,63750,8557,87183,6914,96605,5066,31084,4843,76454,5040,96035,7502,N,N,40617,4001,25.4,(X),(X),(X),(X),(X),(X),(X)
8600000US12120,12120,ZCTA5 12120,254,50,197,44,183,44,57,28,56250,21217,65662,22328,(X),(X),25893,24689,77063,15419,86986,17632,N,N,42765,16762,48.4,(X),(X),(X),(X),(X),(X),(X)
8600000US12121,12121,ZCTA5 12121,723,118,515,98,482,98,208,108,67243,6038,76328,9805,74000,12429,29643,15743,73432,9193,85579,9647,N,N,43354,10635,28.8,(X),(X),(X),(X),(X),(X),(X)
8600000US12122,12122,ZCTA5 12122,1979,161,1307,153,925,110,672,136,44738,5691,56107,10117,(X),(X),30595,5862,55999,4936,62935,7510,N,N,40128,5223,37.3,(X),(X),(X),(X),(X),(X),(X)
8600000US12123,12123,ZCTA5 12123,2122,173,1482,161,1154,167,640,155,70331,11190,87611,15685,(X),(X),32391,5819,78682,7077,94088,9189,N,N,41298,6783,24.6,(X),(X),(X),(X),(X),(X),(X)
8600000US12124,12124,ZCTA5 12124,213,61,198,58,177,59,15,19,108977,65122,110625,40499,(X),(X),-,**,109666,42464,115473,44249,N,N,N,N,50.7,(X),(X),(X),(X),(X),(X),(X)
8600000US12125,12125,ZCTA5 12125,651,97,387,90,245,73,264,74,51741,8825,57350,28458,(X),(X),33487,3345,68078,11608,84953,16286,N,N,39787,11090,45.6,(X),(X),(X),(X),(X),(X),(X)
8600000US12130,12130,ZCTA5 12130,336,121,309,120,220,119,27,30,89750,58226,106979,45869,119643,36612,-,**,93078,21622,99296,21994,N,N,N,N,39.3,(X),(X),(X),(X),(X),(X),(X)
8600000US12131,12131,ZCTA5 12131,48,22,38,21,31,18,10,11,58750,36980,87500,46144,88375,15713,"2,500-",***,60896,15210,72282,14492,N,N,N,N,45.8,(X),(X),(X),(X),(X),(X),(X)
8600000US12132,12132,ZCTA5 12132,117,59,92,62,70,61,25,40,61150,26772,(X),(X),(X),(X),-,**,52694,20008,50210,24435,N,N,N,N,81.2,(X),(X),(X),(X),(X),(X),(X)
