GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US06390,6390,ZCTA5 06390,118,54,73,42,57,35,45,34,152652,17233,145859,29084,130938,83989,-,**,168840,40455,139052,34629,N,N,217162,76494,40.7,(X),(X),(X),(X),(X),(X),(X)
8600000US07421,7421,ZCTA5 07421,2575,180,1797,159,1459,169,778,147,94375,11261,102665,7929,116311,13562,73155,16227,105681,9312,117000,12097,N,N,78893,13428,39.9,(X),(X),(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,11967,548,3550,380,2692,335,8417,516,85168,11872,94286,23488,140882,23665,78438,11230,162724,26868,188216,31113,N,N,151486,35086,22.3,(X),(X),(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,33327,636,16629,752,9445,662,16698,727,35594,2970,37786,3242,42325,6591,29945,5367,64196,2829,63273,4327,78206,7178,63625,3717,31,(X),(X),(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27258,681,7832,640,6603,549,19426,832,100791,4905,165417,19105,191203,14459,85202,4671,171737,10532,279259,28014,N,N,127875,8912,24.3,(X),(X),(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1592,210,559,157,473,113,1033,194,123056,13409,226130,43126,"250,000+",***,99013,13400,173800,24892,267742,47961,N,N,122163,26540,24.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,4295,335,1416,268,1268,272,2879,306,130116,11890,212569,30162,219762,34378,108519,14522,193229,25435,294607,51142,N,N,138087,24589,24.5,(X),(X),(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1776,208,488,125,413,116,1288,226,125364,13544,137500,60096,178702,101874,110729,23652,174312,27607,215682,58931,N,N,157296,31202,20.3,(X),(X),(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2743,261,1351,215,1250,223,1392,223,234958,45462,"250,000+",***,"250,000+",***,157841,29957,392959,53895,511515,88131,N,N,277458,59195,19.9,(X),(X),(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,30062,550,10626,693,5797,658,19436,832,60788,3699,58931,6470,110694,19018,61452,7645,85897,4222,97878,8855,N,N,78778,4941,24.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,16070,755,5147,607,4146,548,10923,678,110142,9266,170284,38677,219459,18947,88133,16141,163333,11715,221654,20766,N,N,135531,13125,25,(X),(X),(X),(X),(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,28738,1007,8706,706,6858,666,20032,944,114134,6726,192234,13925,204865,22562,94554,11667,194277,13500,317332,32561,N,N,136860,10593,22.6,(X),(X),(X),(X),(X),(X),(X)
8600000US10012,10012,ZCTA5 10012,12240,549,3916,380,3219,379,8324,580,101815,3308,149094,13230,152313,10502,84530,7621,149310,10543,215876,23276,N,N,116283,8211,24,(X),(X),(X),(X),(X),(X),(X)
8600000US10013,10013,ZCTA5 10013,11934,480,5926,453,4502,421,6008,413,104167,10841,128721,24907,209022,42044,76741,12437,246993,21388,313106,27176,N,N,181347,44898,32.6,(X),(X),(X),(X),(X),(X),(X)
8600000US10014,10014,ZCTA5 10014,18671,574,4489,400,3893,339,14182,615,119026,12563,190865,24561,209583,23581,95100,9798,189369,12146,298732,33449,N,N,154275,11460,23.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10016,10016,ZCTA5 10016,28359,1001,7688,809,6491,717,20671,1052,102703,6117,166016,15922,177580,22528,85822,6700,148391,8916,227030,21968,N,N,118599,7585,23.4,(X),(X),(X),(X),(X),(X),(X)
8600000US10017,10017,ZCTA5 10017,10134,620,3025,404,2396,423,7109,566,106795,16080,187356,28368,205943,12825,83385,9081,163683,14234,258565,33699,N,N,122982,15476,22.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10018,10018,ZCTA5 10018,4956,264,1194,209,890,168,3762,299,105479,12702,129583,43314,172250,70881,100913,8920,149153,14134,187000,25692,N,N,137141,15932,29.3,(X),(X),(X),(X),(X),(X),(X)
8600000US10019,10019,ZCTA5 10019,23465,879,6344,660,4839,573,17121,803,94477,5898,139947,29034,176250,26073,80592,6688,146207,8744,220701,24097,N,N,117835,7801,25.7,(X),(X),(X),(X),(X),(X),(X)
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11,0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),(X),(X)
8600000US10021,10021,ZCTA5 10021,24558,929,9893,811,8623,798,14665,1033,115681,14417,232484,17507,234045,30234,74155,7459,211624,15807,349424,34837,N,N,117095,13209,30.8,(X),(X),(X),(X),(X),(X),(X)
8600000US10022,10022,ZCTA5 10022,17619,708,6039,595,5627,608,11580,684,123693,9078,243125,21463,249163,19719,90522,8328,224771,27351,382576,66791,N,N,140987,14864,27.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10023,10023,ZCTA5 10023,33144,1042,12150,855,10043,825,20994,1112,115080,9139,201076,18955,246863,31639,85261,6690,199343,12996,326871,31340,N,N,124617,10131,27.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10024,10024,ZCTA5 10024,28809,946,12618,901,10626,824,16191,1021,118594,7175,187229,19817,207815,17334,76866,6398,212125,16260,315911,30256,N,N,130522,11706,29.3,(X),(X),(X),(X),(X),(X),(X)
8600000US10025,10025,ZCTA5 10025,42783,929,19395,1048,14274,854,23388,1050,80025,3814,135425,12152,173138,15330,58540,7033,136293,6920,197711,12678,N,N,84512,6941,31.8,(X),(X),(X),(X),(X),(X),(X)
8600000US10026,10026,ZCTA5 10026,14803,344,7320,492,3145,417,7483,533,52082,3161,57521,7683,115839,11068,47578,10098,88932,7245,100072,11349,N,N,75591,8859,37.6,(X),(X),(X),(X),(X),(X),(X)
8600000US10027,10027,ZCTA5 10027,22933,557,11570,571,5221,435,11363,643,42754,4154,49825,2854,103322,12846,32847,6205,73563,4179,89510,6389,N,N,55039,4293,36.5,(X),(X),(X),(X),(X),(X),(X)
8600000US10028,10028,ZCTA5 10028,25837,1004,10458,924,9331,854,15379,955,111302,9323,209945,10117,218218,19510,81145,6404,199223,14762,339241,31905,N,N,103855,7247,29.3,(X),(X),(X),(X),(X),(X),(X)
8600000US10029,10029,ZCTA5 10029,30640,563,16591,765,6686,581,14049,669,32500,1882,36914,2610,55291,7573,21661,2351,63840,3774,72838,5794,N,N,51882,5186,40.6,(X),(X),(X),(X),(X),(X),(X)
