GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
8600000US06390,6390,ZCTA5 06390,296,120
8600000US10001,10001,ZCTA5 10001,22767,2058
8600000US10002,10002,ZCTA5 10002,79894,2177
8600000US10003,10003,ZCTA5 10003,57068,1563
8600000US10004,10004,ZCTA5 10004,3024,486
8600000US10005,10005,ZCTA5 10005,7570,754
8600000US10006,10006,ZCTA5 10006,2950,430
8600000US10007,10007,ZCTA5 10007,6748,611
8600000US10009,10009,ZCTA5 10009,61806,1770
8600000US10010,10010,ZCTA5 10010,30708,1550
8600000US10011,10011,ZCTA5 10011,52941,1710
8600000US10012,10012,ZCTA5 10012,24846,1383
8600000US10013,10013,ZCTA5 10013,26937,1279
8600000US10014,10014,ZCTA5 10014,31835,1206
8600000US10016,10016,ZCTA5 10016,50112,2268
8600000US10017,10017,ZCTA5 10017,16278,1135
8600000US10018,10018,ZCTA5 10018,8062,598
8600000US10019,10019,ZCTA5 10019,38752,1743
8600000US10020,10020,ZCTA5 10020,0,11
8600000US10021,10021,ZCTA5 10021,42142,2403
8600000US10022,10022,ZCTA5 10022,29699,1657
8600000US10023,10023,ZCTA5 10023,60762,2275
8600000US10024,10024,ZCTA5 10024,59249,2340
8600000US10025,10025,ZCTA5 10025,97373,2914
8600000US10026,10026,ZCTA5 10026,38372,1973
8600000US10027,10027,ZCTA5 10027,63057,1917
8600000US10028,10028,ZCTA5 10028,46169,2066
8600000US10029,10029,ZCTA5 10029,77857,2503
8600000US10030,10030,ZCTA5 10030,29530,1524
8600000US10031,10031,ZCTA5 10031,58912,2222
8600000US10032,10032,ZCTA5 10032,59069,2368
8600000US10033,10033,ZCTA5 10033,60520,2221
8600000US10034,10034,ZCTA5 10034,42672,1750
8600000US10035,10035,ZCTA5 10035,34760,2000
8600000US10036,10036,ZCTA5 10036,24127,1243
8600000US10037,10037,ZCTA5 10037,18041,1267
8600000US10038,10038,ZCTA5 10038,20997,928
8600000US10039,10039,ZCTA5 10039,25952,1541
8600000US10040,10040,ZCTA5 10040,45278,1818
8600000US10044,10044,ZCTA5 10044,12050,927
8600000US10065,10065,ZCTA5 10065,31761,1680
8600000US10069,10069,ZCTA5 10069,5523,1052
8600000US10075,10075,ZCTA5 10075,24377,1775
8600000US10103,10103,ZCTA5 10103,0,11
8600000US10110,10110,ZCTA5 10110,1,2
8600000US10111,10111,ZCTA5 10111,0,11
8600000US10112,10112,ZCTA5 10112,0,11
8600000US10115,10115,ZCTA5 10115,0,11
8600000US10119,10119,ZCTA5 10119,0,11
8600000US10128,10128,ZCTA5 10128,62447,1897
8600000US10152,10152,ZCTA5 10152,0,11
8600000US10153,10153,ZCTA5 10153,0,11
8600000US10154,10154,ZCTA5 10154,0,11
8600000US10162,10162,ZCTA5 10162,1252,613
8600000US10165,10165,ZCTA5 10165,0,11
8600000US10167,10167,ZCTA5 10167,0,11
8600000US10168,10168,ZCTA5 10168,0,11
8600000US10169,10169,ZCTA5 10169,0,11
8600000US10170,10170,ZCTA5 10170,0,11
8600000US10171,10171,ZCTA5 10171,0,11
8600000US10172,10172,ZCTA5 10172,0,11
8600000US10173,10173,ZCTA5 10173,0,11
8600000US10174,10174,ZCTA5 10174,0,11
8600000US10177,10177,ZCTA5 10177,0,11
8600000US10199,10199,ZCTA5 10199,0,11
8600000US10271,10271,ZCTA5 10271,0,11
8600000US10278,10278,ZCTA5 10278,0,11
8600000US10279,10279,ZCTA5 10279,0,11
8600000US10280,10280,ZCTA5 10280,8817,918
8600000US10282,10282,ZCTA5 10282,5903,663
8600000US10301,10301,ZCTA5 10301,39367,1746
8600000US10302,10302,ZCTA5 10302,18043,1244
8600000US10303,10303,ZCTA5 10303,24348,1239
8600000US10304,10304,ZCTA5 10304,41864,2067
8600000US10305,10305,ZCTA5 10305,41471,1243
8600000US10306,10306,ZCTA5 10306,54888,1647
8600000US10307,10307,ZCTA5 10307,15006,796
8600000US10308,10308,ZCTA5 10308,29805,1214
8600000US10309,10309,ZCTA5 10309,33382,1189
8600000US10310,10310,ZCTA5 10310,24719,1171
8600000US10311,10311,ZCTA5 10311,0,11
8600000US10312,10312,ZCTA5 10312,61105,1436
8600000US10314,10314,ZCTA5 10314,87524,2025
8600000US10451,10451,ZCTA5 10451,47818,2214
8600000US10452,10452,ZCTA5 10452,75252,1863
8600000US10453,10453,ZCTA5 10453,79002,2074
8600000US10454,10454,ZCTA5 10454,38751,1351
8600000US10455,10455,ZCTA5 10455,39951,1663
8600000US10456,10456,ZCTA5 10456,91737,2485
8600000US10457,10457,ZCTA5 10457,71015,2058
8600000US10458,10458,ZCTA5 10458,76276,2594
8600000US10459,10459,ZCTA5 10459,48269,1786
8600000US10460,10460,ZCTA5 10460,58676,1915
8600000US10461,10461,ZCTA5 10461,52435,1538
8600000US10462,10462,ZCTA5 10462,76114,1920
8600000US10463,10463,ZCTA5 10463,71238,2091
8600000US10464,10464,ZCTA5 10464,4532,541
8600000US10465,10465,ZCTA5 10465,46360,1942
8600000US10466,10466,ZCTA5 10466,69657,1995
8600000US10467,10467,ZCTA5 10467,99251,2116
8600000US10468,10468,ZCTA5 10468,72683,2304
8600000US10469,10469,ZCTA5 10469,72241,2267
8600000US10470,10470,ZCTA5 10470,14880,953
8600000US10471,10471,ZCTA5 10471,21935,1363
8600000US10472,10472,ZCTA5 10472,69659,2456
8600000US10473,10473,ZCTA5 10473,59948,1775
8600000US10474,10474,ZCTA5 10474,12223,751
8600000US10475,10475,ZCTA5 10475,44582,2606
8600000US10501,10501,ZCTA5 10501,1073,199
8600000US10502,10502,ZCTA5 10502,5396,242
8600000US10503,10503,ZCTA5 10503,172,73
8600000US10504,10504,ZCTA5 10504,7885,303
8600000US10505,10505,ZCTA5 10505,785,245
8600000US10506,10506,ZCTA5 10506,5303,431
8600000US10507,10507,ZCTA5 10507,7039,657
8600000US10509,10509,ZCTA5 10509,19605,623
8600000US10510,10510,ZCTA5 10510,10391,524
8600000US10511,10511,ZCTA5 10511,2349,219
8600000US10512,10512,ZCTA5 10512,25467,750
8600000US10514,10514,ZCTA5 10514,12915,545
8600000US10516,10516,ZCTA5 10516,5327,318
