GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US06390,6390,ZCTA5 06390,132,52,95,37,80,37,37,34,151333,6601,150417,11915,151667,23394,152250,232243,173206,32087,149977,17285,N,N,232849,97398,37.9,(X),(X),(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,11169,461,3348,357,2301,300,7821,413,81445,8743,90456,12963,135518,40466,75091,13369,151316,25929,174333,29223,N,N,140636,35483,21.6,(X),(X),(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,32550,663,17454,664,10054,559,15096,800,32966,2301,35062,3345,39592,5458,25420,4048,60564,2911,58384,3912,N,N,61424,4749,32.4,(X),(X),(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27564,663,7396,638,6120,578,20168,817,97524,4474,145411,16885,170179,17667,85774,4289,156983,9479,235158,24292,N,N,127659,8790,22,(X),(X),(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1580,208,531,137,432,117,1049,202,123409,15383,242625,53217,"250,000+",***,96761,25855,181042,23953,297990,41099,N,N,121414,22308,16.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,4100,341,1056,221,967,214,3044,366,121840,12917,196776,34153,210598,48536,104123,15782,175864,28242,294371,84736,N,N,130469,23318,18.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1686,185,456,139,360,138,1230,211,121316,22057,177300,84250,207045,64167,100759,16396,161202,22657,213649,55400,N,N,140371,26032,22.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2646,186,1361,201,1245,205,1285,180,"250,000+",***,"250,000+",***,"250,000+",***,155190,19278,430777,62072,582466,100569,N,N,269742,65285,15,(X),(X),(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,29860,466,11321,568,6409,624,18539,637,61154,4126,62253,7088,105883,12417,58576,8186,86010,4663,104943,10633,N,N,72940,4678,24.8,(X),(X),(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,16019,709,4582,469,3575,417,11437,764,100763,6614,162550,22942,205329,28916,82461,12041,150684,10834,220565,25904,N,N,122508,11773,21.6,(X),(X),(X),(X),(X),(X),(X)
