GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US06390,6390,ZCTA5 06390,121,41,78,32,63,29,43,33,149554,23979,156667,33587,167292,14103,148839,136972,154017,24658,154847,13782,N,N,152512,74860,45.5,(X),(X),(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,11024,474,3159,367,2295,265,7865,497,81671,8474,91926,13629,131336,23720,72397,14981,157557,27854,193896,30977,N,N,142484,40020,19.7,(X),(X),(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,32467,571,17670,740,10468,610,14797,745,33218,2320,33454,2713,36981,5532,28322,5470,60347,2446,56401,3207,N,N,63436,4707,33.6,(X),(X),(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27505,517,7402,546,6022,516,20103,648,92540,4479,136815,16091,155909,20071,81588,7066,146769,8188,210930,20053,N,N,122507,8717,22.4,(X),(X),(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1430,214,459,120,384,115,971,191,129313,25482,214083,37126,214167,104941,111339,18617,206142,42751,285900,54648,N,N,167971,58548,16.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,3725,351,885,194,741,181,2840,323,124670,13848,180673,41212,192656,46780,110798,14052,178458,26328,266957,61900,N,N,145023,28569,15.5,(X),(X),(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1598,206,300,103,254,105,1298,205,119274,20163,214828,19289,227794,35900,99760,18338,149520,22249,261065,67762,N,N,123739,19664,22,(X),(X),(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2595,208,1306,235,1223,227,1289,215,216037,45480,"250,000+",***,"250,000+",***,162207,35816,385882,44587,501211,76757,N,N,268969,57069,22.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,29565,432,11033,583,6191,555,18532,698,59929,5068,62260,7559,102232,13117,57414,6726,85508,4670,103151,9185,N,N,73512,4827,24.7,(X),(X),(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,16004,642,4557,414,3591,380,11447,771,97955,8156,156823,21185,182719,17595,77277,11173,145088,9202,204833,18499,N,N,121148,12717,22.3,(X),(X),(X),(X),(X),(X),(X)
