GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US06390,6390,ZCTA5 06390,296,120,152,61,144,62,52.6,12.7,52.3,10.2,58.3,14,105.6,18.9,(X),(X),(X),(X),47.3,41.9,(X),(X),(X),(X),26.4,23.7,(X),(X),(X),(X),20.9,24,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,22767,2058,11370,1093,11397,1273,34.4,1.6,36.4,2.3,31.7,1.8,99.8,10.3,(X),(X),(X),(X),28.5,6.1,(X),(X),(X),(X),13.5,1.9,(X),(X),(X),(X),15,6.6,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,79894,2177,38333,1473,41561,1330,40.9,1.2,39.5,1.5,42.3,1.4,92.2,4.1,(X),(X),(X),(X),49.1,2.4,(X),(X),(X),(X),26,1.7,(X),(X),(X),(X),23.2,1.6,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),5.3,(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,57068,1563,27359,1355,29709,1264,32.2,0.6,33.8,1.6,30.9,0.7,92.1,6.8,(X),(X),(X),(X),21.1,1.8,(X),(X),(X),(X),12.7,1.3,(X),(X),(X),(X),8.4,1.1,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,3024,486,1555,307,1469,322,33,4.3,35.8,3.9,30.8,2.9,105.9,28.3,(X),(X),(X),(X),28.4,10.3,(X),(X),(X),(X),8.6,4.1,(X),(X),(X),(X),19.7,9.3,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,7570,754,3621,482,3949,520,28.8,0.9,29.9,1.1,27.7,1.1,91.7,15.8,(X),(X),(X),(X),9.8,3.5,(X),(X),(X),(X),1,0.9,(X),(X),(X),(X),8.8,3.4,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,2950,430,1309,282,1641,273,31,1.5,32.3,1.7,29.4,2.1,79.8,19.5,(X),(X),(X),(X),13.5,7.4,(X),(X),(X),(X),-,**,(X),(X),(X),(X),13.5,7.4,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,6748,611,3832,440,2916,321,34.9,1,35.1,2.1,34.7,0.9,131.4,17.9,(X),(X),(X),(X),28.2,4.4,(X),(X),(X),(X),4.2,1.6,(X),(X),(X),(X),24,4.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,61806,1770,28383,1336,33423,1354,36.2,1.4,35,1.6,37.5,1.9,84.9,5.6,(X),(X),(X),(X),32.2,2.6,(X),(X),(X),(X),17.7,1.6,(X),(X),(X),(X),14.5,1.7,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.6,(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,30708,1550,14461,1220,16247,1082,35.7,1.6,36,2.3,35.4,2,89,10,(X),(X),(X),(X),25.5,2.7,(X),(X),(X),(X),15.8,2.1,(X),(X),(X),(X),9.7,1.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,52941,1710,26912,1350,26029,1271,39.6,1,40.8,1,37.6,1.7,103.4,7.8,(X),(X),(X),(X),30.4,2.4,(X),(X),(X),(X),17.6,1.8,(X),(X),(X),(X),12.8,1.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.9,(X),(X),(X),(X),(X)
8600000US10012,10012,ZCTA5 10012,24846,1383,13019,967,11827,860,34.5,1.2,35.2,1.7,33.6,1.2,110.1,10.6,(X),(X),(X),(X),26.9,3,(X),(X),(X),(X),16.1,2.2,(X),(X),(X),(X),10.9,2.2,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2,(X),(X),(X),(X),(X)
