GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US06390,6390,ZCTA5 06390,339,146,187,83,152,70,52.5,13.2,51.5,10.6,59,8.5,123,38.1,(X),(X),(X),(X),52,32.3,(X),(X),(X),(X),30.9,18.8,(X),(X),(X),(X),21.1,20.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,23537,2422,11827,1349,11710,1341,35.6,1.5,38.5,2.4,32.5,2,101,10.1,(X),(X),(X),(X),32,9.2,(X),(X),(X),(X),15.6,2,(X),(X),(X),(X),16.4,9.7,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.3,(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,80736,2479,38814,1645,41922,1480,40.8,1.1,39,1.2,42.6,1.6,92.6,4.4,(X),(X),(X),(X),49.2,2.8,(X),(X),(X),(X),26.6,2,(X),(X),(X),(X),22.6,2,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),4.5,(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,57112,1592,27187,1201,29925,1171,32.1,0.6,33.8,1.5,30.5,0.7,90.9,5.6,(X),(X),(X),(X),20.6,1.5,(X),(X),(X),(X),12.4,1.3,(X),(X),(X),(X),8.2,1,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.3,(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,3221,556,1527,315,1694,352,33.1,3.8,34.8,2.7,31.4,3.3,90.1,20.4,(X),(X),(X),(X),31.9,10.5,(X),(X),(X),(X),7.1,5,(X),(X),(X),(X),24.8,9.6,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,8131,837,3904,503,4227,560,29.4,1.1,29.7,1.6,29.2,1.2,92.4,14.9,(X),(X),(X),(X),11.1,3.6,(X),(X),(X),(X),1.2,1.3,(X),(X),(X),(X),9.9,3.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.2,(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,3110,406,1390,258,1720,287,31.4,1.4,32,1.5,30.5,3.2,80.8,19.8,(X),(X),(X),(X),13.2,4.9,(X),(X),(X),(X),-,**,(X),(X),(X),(X),13.2,4.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,6876,539,3944,378,2932,326,35.4,2,35.7,3.3,34.8,2.3,134.5,18,(X),(X),(X),(X),28.7,4.8,(X),(X),(X),(X),4.7,2.1,(X),(X),(X),(X),24,4.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,60865,1987,27675,1709,33190,1803,37,1.9,34.9,1.9,38.7,2.5,83.4,8,(X),(X),(X),(X),33.3,2.4,(X),(X),(X),(X),19.1,1.7,(X),(X),(X),(X),14.2,1.6,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.6,(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,31447,1404,15649,1081,15798,1054,34.6,1.3,35.3,1.8,33.5,2.3,99.1,10.1,(X),(X),(X),(X),23.9,2.8,(X),(X),(X),(X),14.6,2,(X),(X),(X),(X),9.3,1.6,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.3,(X),(X),(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,52349,2371,26515,1447,25834,1424,39.5,1.3,40.8,1.4,37.6,2.2,102.6,6.4,(X),(X),(X),(X),32.7,3.2,(X),(X),(X),(X),18.8,2.1,(X),(X),(X),(X),14,2,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2.4,(X),(X),(X),(X),(X)
8600000US10012,10012,ZCTA5 10012,24163,1315,12549,873,11614,815,34.2,1.1,35.4,1.6,32.6,1.6,108.1,9.5,(X),(X),(X),(X),26.7,3,(X),(X),(X),(X),16,1.9,(X),(X),(X),(X),10.7,2.4,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2.3,(X),(X),(X),(X),(X)
8600000US10013,10013,ZCTA5 10013,27415,1580,13625,939,13790,1015,36.9,1.7,35.1,1.3,38.8,1.8,98.8,8.3,(X),(X),(X),(X),42.8,4,(X),(X),(X),(X),20.4,2.5,(X),(X),(X),(X),22.4,2.9,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),3,(X),(X),(X),(X),(X)
8600000US10014,10014,ZCTA5 10014,30727,1359,15762,999,14965,980,37,1.5,38.8,1.6,34.2,2.1,105.3,9.8,(X),(X),(X),(X),26.5,2.8,(X),(X),(X),(X),16.6,2.1,(X),(X),(X),(X),9.9,1.3,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1,(X),(X),(X),(X),(X)
8600000US10016,10016,ZCTA5 10016,50641,2237,23323,1543,27318,1394,33.4,0.9,35.9,1.9,31.9,1.1,85.4,6.6,(X),(X),(X),(X),27.3,2.8,(X),(X),(X),(X),16.1,2.1,(X),(X),(X),(X),11.2,1.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.7,(X),(X),(X),(X),(X)
8600000US10017,10017,ZCTA5 10017,16472,1354,7602,1007,8870,719,37.4,2.3,35.9,5,37.6,3,85.7,12,(X),(X),(X),(X),30,4.2,(X),(X),(X),(X),22,4.1,(X),(X),(X),(X),7.9,1.7,(X),(X),(X),(X),0.4,(X),(X),(X),(X),(X),1.8,(X),(X),(X),(X),(X)
8600000US10018,10018,ZCTA5 10018,9168,691,4821,554,4347,475,30.7,0.8,31.1,1.3,30.5,0.7,110.9,18.5,(X),(X),(X),(X),12.3,2.9,(X),(X),(X),(X),3.8,1.3,(X),(X),(X),(X),8.5,2.4,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2.6,(X),(X),(X),(X),(X)
8600000US10019,10019,ZCTA5 10019,38830,1560,19202,1022,19628,1145,39.2,1.6,39.5,1.2,38.7,2.4,97.8,7.6,(X),(X),(X),(X),29.7,2.9,(X),(X),(X),(X),20.1,2.4,(X),(X),(X),(X),9.5,1.7,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X)
8600000US10021,10021,ZCTA5 10021,43573,2685,19755,1634,23818,1718,39.5,1.8,37.5,2,41.1,2.2,82.9,7.7,(X),(X),(X),(X),57.8,5.6,(X),(X),(X),(X),32.4,4.4,(X),(X),(X),(X),25.4,3.9,(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X)
8600000US10022,10022,ZCTA5 10022,30607,1340,13485,994,17122,940,45.5,2.1,45.1,2.8,46.2,2.6,78.8,7.4,(X),(X),(X),(X),55.5,5.7,(X),(X),(X),(X),41.9,4.9,(X),(X),(X),(X),13.6,2.5,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),3.1,(X),(X),(X),(X),(X)
8600000US10023,10023,ZCTA5 10023,60586,2263,28188,1576,32398,1499,42.1,1.3,41.1,1.7,42.6,1.7,87,6.1,(X),(X),(X),(X),49.9,3.6,(X),(X),(X),(X),29,3,(X),(X),(X),(X),21,1.8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US10024,10024,ZCTA5 10024,58391,2363,27139,1378,31252,1547,42.5,0.8,42.2,1.4,42.7,1.1,86.8,5.1,(X),(X),(X),(X),51.3,3.6,(X),(X),(X),(X),26.3,2.4,(X),(X),(X),(X),25,2.5,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),2.1,(X),(X),(X),(X),(X)
8600000US10025,10025,ZCTA5 10025,96068,3042,41715,1498,54353,2332,40.3,1,41.7,1.7,39.2,2.2,76.7,3.8,(X),(X),(X),(X),45.8,2.9,(X),(X),(X),(X),24.6,1.9,(X),(X),(X),(X),21.2,1.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
