GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
8600000US06390,6390,ZCTA5 06390,339,146
8600000US10001,10001,ZCTA5 10001,23537,2422
8600000US10002,10002,ZCTA5 10002,80736,2479
8600000US10003,10003,ZCTA5 10003,57112,1592
8600000US10004,10004,ZCTA5 10004,3221,556
8600000US10005,10005,ZCTA5 10005,8131,837
8600000US10006,10006,ZCTA5 10006,3110,406
8600000US10007,10007,ZCTA5 10007,6876,539
8600000US10009,10009,ZCTA5 10009,60865,1987
8600000US10010,10010,ZCTA5 10010,31447,1404
8600000US10011,10011,ZCTA5 10011,52349,2371
8600000US10012,10012,ZCTA5 10012,24163,1315
8600000US10013,10013,ZCTA5 10013,27415,1580
8600000US10014,10014,ZCTA5 10014,30727,1359
8600000US10016,10016,ZCTA5 10016,50641,2237
8600000US10017,10017,ZCTA5 10017,16472,1354
8600000US10018,10018,ZCTA5 10018,9168,691
8600000US10019,10019,ZCTA5 10019,38830,1560
8600000US10020,10020,ZCTA5 10020,0,11
8600000US10021,10021,ZCTA5 10021,43573,2685
8600000US10022,10022,ZCTA5 10022,30607,1340
8600000US10023,10023,ZCTA5 10023,60586,2263
8600000US10024,10024,ZCTA5 10024,58391,2363
8600000US10025,10025,ZCTA5 10025,96068,3042
8600000US10026,10026,ZCTA5 10026,38310,1530
8600000US10027,10027,ZCTA5 10027,64413,2315
8600000US10028,10028,ZCTA5 10028,46883,2212
8600000US10029,10029,ZCTA5 10029,79251,2282
8600000US10030,10030,ZCTA5 10030,29209,1670
8600000US10031,10031,ZCTA5 10031,59244,2287
8600000US10032,10032,ZCTA5 10032,62685,2379
8600000US10033,10033,ZCTA5 10033,59844,2544
8600000US10034,10034,ZCTA5 10034,43405,1656
8600000US10035,10035,ZCTA5 10035,33920,1574
8600000US10036,10036,ZCTA5 10036,25799,1397
8600000US10037,10037,ZCTA5 10037,18777,1107
8600000US10038,10038,ZCTA5 10038,21464,1202
8600000US10039,10039,ZCTA5 10039,26697,1328
8600000US10040,10040,ZCTA5 10040,44378,2027
8600000US10044,10044,ZCTA5 10044,11783,1050
8600000US10065,10065,ZCTA5 10065,30237,1516
8600000US10069,10069,ZCTA5 10069,5526,963
8600000US10075,10075,ZCTA5 10075,25756,2183
8600000US10103,10103,ZCTA5 10103,0,11
8600000US10110,10110,ZCTA5 10110,0,11
8600000US10111,10111,ZCTA5 10111,0,11
8600000US10112,10112,ZCTA5 10112,0,11
8600000US10115,10115,ZCTA5 10115,0,11
8600000US10119,10119,ZCTA5 10119,0,11
8600000US10128,10128,ZCTA5 10128,61927,2082
8600000US10152,10152,ZCTA5 10152,0,11
8600000US10153,10153,ZCTA5 10153,0,11
8600000US10154,10154,ZCTA5 10154,0,11
8600000US10162,10162,ZCTA5 10162,1289,524
8600000US10165,10165,ZCTA5 10165,0,11
8600000US10167,10167,ZCTA5 10167,0,11
8600000US10168,10168,ZCTA5 10168,0,11
8600000US10169,10169,ZCTA5 10169,0,11
8600000US10170,10170,ZCTA5 10170,0,11
8600000US10171,10171,ZCTA5 10171,0,11
8600000US10172,10172,ZCTA5 10172,0,11
8600000US10173,10173,ZCTA5 10173,0,11
8600000US10174,10174,ZCTA5 10174,0,11
8600000US10177,10177,ZCTA5 10177,0,11
8600000US10199,10199,ZCTA5 10199,0,11
8600000US10271,10271,ZCTA5 10271,0,11
8600000US10278,10278,ZCTA5 10278,0,11
8600000US10279,10279,ZCTA5 10279,0,11
8600000US10280,10280,ZCTA5 10280,9552,914
8600000US10282,10282,ZCTA5 10282,5730,855
8600000US10301,10301,ZCTA5 10301,39209,1636
8600000US10302,10302,ZCTA5 10302,18286,1097
8600000US10303,10303,ZCTA5 10303,23933,1209
8600000US10304,10304,ZCTA5 10304,42244,1691
8600000US10305,10305,ZCTA5 10305,41795,1306
8600000US10306,10306,ZCTA5 10306,54939,1686
8600000US10307,10307,ZCTA5 10307,15098,854
8600000US10308,10308,ZCTA5 10308,29766,1280
8600000US10309,10309,ZCTA5 10309,33185,1401
8600000US10310,10310,ZCTA5 10310,24394,1069
8600000US10311,10311,ZCTA5 10311,0,11
8600000US10312,10312,ZCTA5 10312,62032,1569
8600000US10314,10314,ZCTA5 10314,87600,1867
8600000US10451,10451,ZCTA5 10451,48188,2157
8600000US10452,10452,ZCTA5 10452,75559,1972
8600000US10453,10453,ZCTA5 10453,80081,2236
8600000US10454,10454,ZCTA5 10454,39012,1611
8600000US10455,10455,ZCTA5 10455,41609,1699
8600000US10456,10456,ZCTA5 10456,91868,2381
8600000US10457,10457,ZCTA5 10457,73763,2242
8600000US10458,10458,ZCTA5 10458,79974,2598
8600000US10459,10459,ZCTA5 10459,47778,1428
8600000US10460,10460,ZCTA5 10460,59512,2229
8600000US10461,10461,ZCTA5 10461,51820,1317
8600000US10462,10462,ZCTA5 10462,78504,1930
8600000US10463,10463,ZCTA5 10463,71981,2229
8600000US10464,10464,ZCTA5 10464,4723,605
8600000US10465,10465,ZCTA5 10465,45839,1765
8600000US10466,10466,ZCTA5 10466,71138,2125
8600000US10467,10467,ZCTA5 10467,101134,2219
8600000US10468,10468,ZCTA5 10468,73637,1924
8600000US10469,10469,ZCTA5 10469,72732,2223
8600000US10470,10470,ZCTA5 10470,14868,894
8600000US10471,10471,ZCTA5 10471,21727,1087
8600000US10472,10472,ZCTA5 10472,68654,2272
8600000US10473,10473,ZCTA5 10473,59352,1722
8600000US10474,10474,ZCTA5 10474,12686,895
8600000US10475,10475,ZCTA5 10475,43913,2577
8600000US10501,10501,ZCTA5 10501,1226,187
8600000US10502,10502,ZCTA5 10502,5519,232
8600000US10503,10503,ZCTA5 10503,168,67
8600000US10504,10504,ZCTA5 10504,7910,328
8600000US10505,10505,ZCTA5 10505,868,224
8600000US10506,10506,ZCTA5 10506,5453,498
8600000US10507,10507,ZCTA5 10507,7004,595
8600000US10509,10509,ZCTA5 10509,19218,615
8600000US10510,10510,ZCTA5 10510,10428,489
8600000US10511,10511,ZCTA5 10511,2236,255
8600000US10512,10512,ZCTA5 10512,24845,780
8600000US10514,10514,ZCTA5 10514,12741,594
8600000US10516,10516,ZCTA5 10516,5474,307
8600000US10517,10517,ZCTA5 10517,608,275
8600000US10518,10518,ZCTA5 10518,1502,342
8600000US10519,10519,ZCTA5 10519,207,109
8600000US10520,10520,ZCTA5 10520,12996,461
8600000US10522,10522,ZCTA5 10522,11055,39
8600000US10523,10523,ZCTA5 10523,8752,528
8600000US10524,10524,ZCTA5 10524,4252,301
8600000US10526,10526,ZCTA5 10526,1662,249
8600000US10527,10527,ZCTA5 10527,877,170
