GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US06390,6390,ZCTA5 06390,280,121,127,54,153,74,48.2,5.5,51.9,5.9,41.9,7.7,83,27.9,(X),(X),(X),(X),34,19.9,(X),(X),(X),(X),11.5,9.4,(X),(X),(X),(X),22.5,16.6,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,21097,1160,10073,761,11024,898,34.6,1.4,35.2,1.7,34.1,3.4,91.4,10.3,(X),(X),(X),(X),29.8,3.4,(X),(X),(X),(X),15.5,2.3,(X),(X),(X),(X),14.3,2.5,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,81335,2469,38861,1533,42474,1679,39.7,0.8,38.6,0.8,41.2,1.6,91.5,4.6,(X),(X),(X),(X),49.6,2.7,(X),(X),(X),(X),26,1.9,(X),(X),(X),(X),23.6,1.7,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),4.4,(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,55190,1766,26114,1500,29076,1320,32.5,0.5,34.5,1.1,31.2,1,89.8,7.3,(X),(X),(X),(X),21.1,1.5,(X),(X),(X),(X),12.9,1.3,(X),(X),(X),(X),8.1,1,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,2604,362,1548,263,1056,224,33.1,2.9,35.6,4.2,31.1,1.6,146.6,37.2,(X),(X),(X),(X),17.5,7.8,(X),(X),(X),(X),3.5,3.1,(X),(X),(X),(X),13.9,7.1,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,4935,500,2409,327,2526,366,29.1,1.3,30.6,1.4,27.8,1.2,95.4,18.7,(X),(X),(X),(X),6.9,3.2,(X),(X),(X),(X),0.5,0.6,(X),(X),(X),(X),6.5,3.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,2722,324,1209,221,1513,234,30.7,1.1,32.2,2.6,28.5,1.8,79.9,19.1,(X),(X),(X),(X),6.7,3.2,(X),(X),(X),(X),1.4,0.6,(X),(X),(X),(X),5.3,3.3,(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X),1.9,(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,5892,546,3313,368,2579,323,34.3,0.8,34.7,1.5,33.8,2,128.5,18.7,(X),(X),(X),(X),25,4,(X),(X),(X),(X),3.7,1.9,(X),(X),(X),(X),21.3,4,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,62335,1710,29547,1291,32788,1426,36.8,0.9,36.2,1.3,38.2,1.4,90.1,6.1,(X),(X),(X),(X),33.5,2.1,(X),(X),(X),(X),17.6,1.3,(X),(X),(X),(X),15.9,1.5,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),1.3,(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,28954,1472,13298,1035,15656,996,35.3,1.1,35.8,1.8,35,1.7,84.9,8.3,(X),(X),(X),(X),27.5,2.8,(X),(X),(X),(X),17.1,1.7,(X),(X),(X),(X),10.4,1.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,51064,1460,26799,1084,24265,1034,39.6,1.2,41.3,0.9,37.2,1.3,110.4,6.6,(X),(X),(X),(X),25.4,1.6,(X),(X),(X),(X),14.1,1.2,(X),(X),(X),(X),11.3,1.1,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US10012,10012,ZCTA5 10012,24342,1568,12414,882,11928,1068,34.1,1.2,35.1,1.6,33,2.3,104.1,10.1,(X),(X),(X),(X),25.4,3.1,(X),(X),(X),(X),15.2,2.3,(X),(X),(X),(X),10.2,1.9,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US10013,10013,ZCTA5 10013,25942,1363,12626,867,13316,757,37.1,2,37.1,2.7,37.1,2.7,94.8,6.6,(X),(X),(X),(X),38,3.4,(X),(X),(X),(X),18.2,2.1,(X),(X),(X),(X),19.8,2.5,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),3.3,(X),(X),(X),(X),(X)
8600000US10014,10014,ZCTA5 10014,31685,1349,15007,814,16678,1033,36.8,0.9,38.4,1.9,35.4,1.7,90,7.2,(X),(X),(X),(X),25.7,2,(X),(X),(X),(X),14.8,1.5,(X),(X),(X),(X),10.9,1.8,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US10016,10016,ZCTA5 10016,53754,1972,24723,1421,29031,1351,32.7,0.7,34.5,1,31.5,1,85.2,6.3,(X),(X),(X),(X),23.1,2.2,(X),(X),(X),(X),13.2,1.4,(X),(X),(X),(X),9.9,1.2,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US10017,10017,ZCTA5 10017,15603,993,7054,637,8549,705,38.1,1.9,37,2.6,40.7,3.3,82.5,9.6,(X),(X),(X),(X),27.2,3.8,(X),(X),(X),(X),20.2,3.5,(X),(X),(X),(X),7,1.4,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
8600000US10018,10018,ZCTA5 10018,5290,641,3092,529,2198,353,31.3,2.4,31.9,3.9,30.8,1.3,140.7,32.6,(X),(X),(X),(X),13.7,3.4,(X),(X),(X),(X),5.8,1.9,(X),(X),(X),(X),7.9,2.8,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),1.3,(X),(X),(X),(X),(X)
8600000US10019,10019,ZCTA5 10019,40778,1493,19936,1097,20842,1023,37.6,1.4,37.9,1.5,37.2,1.8,95.7,7.1,(X),(X),(X),(X),25.8,2,(X),(X),(X),(X),16.2,1.7,(X),(X),(X),(X),9.6,1.5,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),2.3,(X),(X),(X),(X),(X)
8600000US10020,10020,ZCTA5 10020,0,89,0,89,0,89,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X)
8600000US10021,10021,ZCTA5 10021,41546,1640,18277,976,23269,1070,41.8,1.5,39.9,2,43.1,1.8,78.5,4.7,(X),(X),(X),(X),51.4,4.2,(X),(X),(X),(X),31.5,3.4,(X),(X),(X),(X),19.9,2.2,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US10022,10022,ZCTA5 10022,28847,1309,12928,883,15919,865,46.7,2,45.3,1.5,49.9,3.4,81.2,6.7,(X),(X),(X),(X),48.3,3.8,(X),(X),(X),(X),36,3.3,(X),(X),(X),(X),12.2,1.9,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US10023,10023,ZCTA5 10023,60035,2088,28311,1538,31724,1174,40.1,1.2,39.5,1.8,40.8,1.5,89.2,5.4,(X),(X),(X),(X),44.6,3.1,(X),(X),(X),(X),25.1,2.2,(X),(X),(X),(X),19.4,1.8,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.4,(X),(X),(X),(X),(X)
8600000US10024,10024,ZCTA5 10024,60239,2009,28078,1267,32161,1283,40.7,0.9,42,1.3,39.9,1,87.3,4.6,(X),(X),(X),(X),47.6,2.8,(X),(X),(X),(X),22.8,1.7,(X),(X),(X),(X),24.8,2.2,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
8600000US10025,10025,ZCTA5 10025,95330,2599,42187,1494,53143,1959,37.5,0.8,37.2,0.8,37.7,1.4,79.4,3.8,(X),(X),(X),(X),42.2,2.3,(X),(X),(X),(X),21,1.5,(X),(X),(X),(X),21.2,1.5,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2.3,(X),(X),(X),(X),(X)
8600000US10026,10026,ZCTA5 10026,36026,1680,16562,990,19464,1153,33,1.1,32.6,1.5,33.5,1.7,85.1,6.3,(X),(X),(X),(X),43.5,3.6,(X),(X),(X),(X),12.2,1.8,(X),(X),(X),(X),31.2,3.1,(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X),2.3,(X),(X),(X),(X),(X)
8600000US10027,10027,ZCTA5 10027,58834,2240,25971,1303,32863,1550,30.9,0.8,30.2,0.9,31.7,1.4,79,4.8,(X),(X),(X),(X),35.7,2.4,(X),(X),(X),(X),12.7,1,(X),(X),(X),(X),23,2.1,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
8600000US10028,10028,ZCTA5 10028,45345,1645,20137,984,25208,1059,38.6,1.2,38.4,1.8,38.8,1.3,79.9,4.3,(X),(X),(X),(X),45.2,2.9,(X),(X),(X),(X),23.3,2.3,(X),(X),(X),(X),21.9,1.8,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US10029,10029,ZCTA5 10029,78451,2770,37138,1787,41313,1615,32.7,0.8,29.9,1.3,35.8,0.9,89.9,4.6,(X),(X),(X),(X),49.8,2.6,(X),(X),(X),(X),16.9,1,(X),(X),(X),(X),33,2.2,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US10030,10030,ZCTA5 10030,29186,1598,13456,1038,15730,1085,34.9,1.3,35,1.7,34.8,2.3,85.5,8.3,(X),(X),(X),(X),49,4.4,(X),(X),(X),(X),15.1,2.4,(X),(X),(X),(X),33.9,3.7,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),1.8,(X),(X),(X),(X),(X)
8600000US10031,10031,ZCTA5 10031,58736,2274,28341,1465,30395,1408,32,0.9,30.8,1.1,33.8,1.7,93.2,5.6,(X),(X),(X),(X),44.6,3,(X),(X),(X),(X),15,1.5,(X),(X),(X),(X),29.6,2.3,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2,(X),(X),(X),(X),(X)
8600000US10032,10032,ZCTA5 10032,62798,2516,30479,1775,32319,1655,33.6,1,32,1.1,35.2,1.4,94.3,7.1,(X),(X),(X),(X),44,2.3,(X),(X),(X),(X),16.9,1.4,(X),(X),(X),(X),27.2,2,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US10033,10033,ZCTA5 10033,58027,2430,29914,1890,28113,1126,35,0.9,32.4,1.7,39.1,1.7,106.4,7,(X),(X),(X),(X),43.5,2.5,(X),(X),(X),(X),16.4,1.4,(X),(X),(X),(X),27.1,1.8,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
8600000US10034,10034,ZCTA5 10034,40925,1543,20087,1243,20838,937,37,1.4,35.5,1.4,38.9,1.7,96.4,7.5,(X),(X),(X),(X),43,3.6,(X),(X),(X),(X),13.3,1.6,(X),(X),(X),(X),29.7,2.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
8600000US10035,10035,ZCTA5 10035,35290,1554,17294,1028,17996,965,32.5,1.2,31.2,2.5,33.3,1.6,96.1,6.8,(X),(X),(X),(X),54.3,4.4,(X),(X),(X),(X),17.7,2,(X),(X),(X),(X),36.6,3.6,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
8600000US10036,10036,ZCTA5 10036,22371,1123,12779,695,9592,815,39.8,1.4,40.4,0.9,38,4.2,133.2,12.8,(X),(X),(X),(X),20.7,2,(X),(X),(X),(X),12.6,1.6,(X),(X),(X),(X),8.1,1.3,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US10037,10037,ZCTA5 10037,17489,1044,7356,679,10133,816,38,3,34.9,3.1,41.8,3.5,72.6,9,(X),(X),(X),(X),54.7,5.1,(X),(X),(X),(X),26.9,3.7,(X),(X),(X),(X),27.8,4.4,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
8600000US10038,10038,ZCTA5 10038,19530,1059,8745,671,10785,745,33.6,1.5,32.7,1.6,34.5,2.4,81.1,7.9,(X),(X),(X),(X),34.6,3.4,(X),(X),(X),(X),18.7,2.2,(X),(X),(X),(X),16,2.5,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2.9,(X),(X),(X),(X),(X)
8600000US10039,10039,ZCTA5 10039,25257,1411,11617,923,13640,936,34,1.9,30,2.9,37.4,2.8,85.2,8.2,(X),(X),(X),(X),58.8,5.7,(X),(X),(X),(X),19.2,2.8,(X),(X),(X),(X),39.7,4.5,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US10040,10040,ZCTA5 10040,43753,1571,19399,1115,24354,1063,36.1,1.4,32.9,2,38.6,2,79.7,5.7,(X),(X),(X),(X),53.3,4,(X),(X),(X),(X),21.2,2.8,(X),(X),(X),(X),32,2.7,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1,(X),(X),(X),(X),(X)
8600000US10044,10044,ZCTA5 10044,11399,1008,5269,696,6130,641,39.6,2.5,39.7,2.8,39.5,4.9,86,13.6,(X),(X),(X),(X),53.9,7.1,(X),(X),(X),(X),27.3,6.6,(X),(X),(X),(X),26.6,5.2,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
8600000US10065,10065,ZCTA5 10065,32193,1403,14713,887,17480,826,39.8,1.2,39.7,1.8,39.8,1.4,84.2,5.3,(X),(X),(X),(X),45.1,3.4,(X),(X),(X),(X),28.5,2.8,(X),(X),(X),(X),16.6,1.9,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X)
8600000US10069,10069,ZCTA5 10069,5214,727,2559,459,2655,416,35.5,1.5,32.7,4.1,36.5,3.5,96.4,18.5,(X),(X),(X),(X),33.7,8.8,(X),(X),(X),(X),9.3,4,(X),(X),(X),(X),24.4,8.1,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10075,10075,ZCTA5 10075,26082,1522,10817,834,15265,1049,40.6,1.6,40.3,2.1,40.8,1.9,70.9,6.2,(X),(X),(X),(X),49.7,4.8,(X),(X),(X),(X),29.1,3.8,(X),(X),(X),(X),20.6,3.5,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X)
8600000US10103,10103,ZCTA5 10103,0,89,0,89,0,89,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X)
8600000US10110,10110,ZCTA5 10110,4,3,2,3,2,3,41,42.8,29,11.4,64,47.9,100,370.9,(X),(X),(X),(X),33.3,127.4,(X),(X),(X),(X),33.3,127.4,(X),(X),(X),(X),-,**,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10111,10111,ZCTA5 10111,0,89,0,89,0,89,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X)
8600000US10112,10112,ZCTA5 10112,0,89,0,89,0,89,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X)
8600000US10115,10115,ZCTA5 10115,0,89,0,89,0,89,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X)
8600000US10119,10119,ZCTA5 10119,0,89,0,89,0,89,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X)
8600000US10128,10128,ZCTA5 10128,58793,1547,25817,1063,32976,1098,38.4,1.1,39.2,1.2,37.4,1.6,78.3,4.1,(X),(X),(X),(X),41.9,2.6,(X),(X),(X),(X),21.5,1.9,(X),(X),(X),(X),20.4,1.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
