GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US06390,6390,ZCTA5 06390,303,151,171,86,132,71,51,13.6,44.8,14.7,58.4,18.7,129.5,41.3,(X),(X),(X),(X),68.3,42.8,(X),(X),(X),(X),38.3,25,(X),(X),(X),(X),30,26.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X)
8600000US07421,7421,ZCTA5 07421,7281,512,3769,327,3512,290,42.9,2.6,41.6,3.7,43.9,4.4,107.3,10.1,(X),(X),(X),(X),42.5,5.5,(X),(X),(X),(X),15.1,2.9,(X),(X),(X),(X),27.3,4.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),5.1,(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,23332,1740,12116,986,11216,1129,35.8,1.5,39.3,2.1,32.6,2,108,11.3,(X),(X),(X),(X),29.8,6.1,(X),(X),(X),(X),15.4,2.2,(X),(X),(X),(X),14.4,5.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,78096,2456,37634,1566,40462,1444,41.1,1.5,39.4,1.5,42.9,1.9,93,4.2,(X),(X),(X),(X),48.4,2.8,(X),(X),(X),(X),27.3,1.9,(X),(X),(X),(X),21.1,2.3,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),4.2,(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,56767,1934,27425,1269,29342,1262,32.2,0.6,33.6,0.9,31,0.6,93.5,5.4,(X),(X),(X),(X),21.2,1.5,(X),(X),(X),(X),13.2,1.2,(X),(X),(X),(X),8,1,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1,(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,3044,509,1400,299,1644,331,33.9,3.6,34.7,3.2,32.8,5.3,85.2,20.6,(X),(X),(X),(X),26.4,8.3,(X),(X),(X),(X),6.8,4.8,(X),(X),(X),(X),19.6,7.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,8710,840,4201,584,4509,638,29.5,1.1,29.9,1.7,29.2,1.2,93.2,19.1,(X),(X),(X),(X),12.3,3.8,(X),(X),(X),(X),1.8,1.5,(X),(X),(X),(X),10.5,3.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,3277,438,1382,275,1895,305,31,1.6,32.3,1.4,30,1.7,72.9,17.3,(X),(X),(X),(X),15.3,4.4,(X),(X),(X),(X),-,**,(X),(X),(X),(X),15.3,4.4,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,6740,665,3976,432,2764,346,35.9,2.5,35.9,3.6,35.9,3.2,143.8,17.6,(X),(X),(X),(X),30.7,4.1,(X),(X),(X),(X),6.6,2.4,(X),(X),(X),(X),24.1,4.3,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,59799,1682,26654,1443,33145,1468,36.3,1.6,34.5,1.3,38.3,1.8,80.4,6.5,(X),(X),(X),(X),32.6,2.3,(X),(X),(X),(X),18.5,1.5,(X),(X),(X),(X),14.1,1.6,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.6,(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,32854,2303,16606,1496,16248,1264,35,1.5,35.8,1.8,34.1,2.5,102.2,9.6,(X),(X),(X),(X),27.4,3.3,(X),(X),(X),(X),15.7,2.5,(X),(X),(X),(X),11.7,3,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,50404,2300,25453,1707,24951,1107,39.9,1.3,40.5,1.5,39.2,2,102,6.9,(X),(X),(X),(X),33.1,3.2,(X),(X),(X),(X),20.1,2,(X),(X),(X),(X),13,1.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),2.3,(X),(X),(X),(X),(X)
8600000US10012,10012,ZCTA5 10012,24536,1279,12606,966,11930,857,34.1,1.1,35.7,1.8,32.1,1.7,105.7,11.2,(X),(X),(X),(X),26.8,3.3,(X),(X),(X),(X),15.7,2,(X),(X),(X),(X),11.1,2.4,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2.8,(X),(X),(X),(X),(X)
8600000US10013,10013,ZCTA5 10013,28211,1443,13988,830,14223,863,36.9,1.1,35.7,1.3,38.2,1.9,98.3,6.2,(X),(X),(X),(X),42.2,3.7,(X),(X),(X),(X),19.2,2.2,(X),(X),(X),(X),23,2.6,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2.5,(X),(X),(X),(X),(X)
8600000US10014,10014,ZCTA5 10014,31464,1227,16101,942,15363,914,36.6,1.1,38.4,1.4,33.9,1.7,104.8,9.2,(X),(X),(X),(X),27.1,2.6,(X),(X),(X),(X),16.8,2,(X),(X),(X),(X),10.3,1.6,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
