GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US06390,6390,ZCTA5 06390,145,56,74,35,68,32,71,45,146917,27693,154500,56004,163333,39903,146250,123627,139453,29148,135378,25995,N,N,143700,60900,40.7,(X),(X),(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,10728,481,2997,283,2055,275,7731,483,76138,8189,85750,15465,131339,27661,70276,10046,136992,14004,182423,30293,N,N,118841,14038,19.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,32238,576,17568,624,10508,566,14670,598,32265,2395,33828,2841,37741,7797,26687,2641,58104,2576,56544,3431,N,N,58748,4428,31.7,(X),(X),(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27618,677,7371,576,5980,553,20247,746,91767,5086,139386,9941,153359,17207,79973,7099,142795,8843,206245,19346,N,N,118289,8704,21.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1469,225,443,140,379,141,1026,220,127281,22042,202083,82419,"250,000+",***,106444,21611,237755,57686,401149,141554,N,N,166763,56190,17.6,(X),(X),(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,3323,295,709,158,609,161,2614,280,120729,11887,169531,50533,169219,50374,104167,19471,164318,23389,243058,52454,N,N,140677,26591,15.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1659,187,336,125,284,113,1323,178,115787,24791,235431,40121,"250,000+",***,97332,17569,152508,22722,279131,55559,N,N,120350,20325,21.3,(X),(X),(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2459,212,1230,183,1135,181,1229,208,210125,38367,"250,000+",***,"250,000+",***,172531,35913,387210,57417,512454,99007,N,N,261786,52118,23.5,(X),(X),(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,29892,466,10917,687,6289,489,18975,721,59034,4175,60019,7371,85685,15082,57736,6745,86419,5810,99955,11067,N,N,76717,5827,24.4,(X),(X),(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,15818,646,4520,419,3641,351,11298,627,95556,9188,167206,16502,186175,18452,76993,12566,151621,10787,217301,19445,N,N,125181,12291,20.7,(X),(X),(X),(X),(X),(X),(X)
