GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US06390,6390,ZCTA5 06390,307,121,137,56,170,73,48.3,3.9,51.4,2.8,41.6,7.8,80.6,23.6,(X),(X),(X),(X),40.2,20.4,(X),(X),(X),(X),16.9,15.5,(X),(X),(X),(X),23.3,14.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,20579,1027,9878,651,10701,814,35.7,2.1,38.6,2,32.1,2.2,92.3,9.5,(X),(X),(X),(X),25.3,3.1,(X),(X),(X),(X),14.8,2.1,(X),(X),(X),(X),10.6,2.4,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),1,(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,80323,2259,38320,1630,42003,1438,39.9,0.8,38.6,1,41.3,1.4,91.2,4.8,(X),(X),(X),(X),49.8,2.7,(X),(X),(X),(X),26.4,1.7,(X),(X),(X),(X),23.4,2.1,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),5.3,(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,56614,2161,26859,1589,29755,1078,32.2,0.7,33.9,1.4,30.9,1.1,90.3,5.4,(X),(X),(X),(X),20.3,1.7,(X),(X),(X),(X),12.9,1.3,(X),(X),(X),(X),7.4,1,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,2780,511,1554,308,1226,305,33.8,3.2,36.1,3.6,31.5,2.8,126.8,31,(X),(X),(X),(X),23.4,9.8,(X),(X),(X),(X),3.8,2.7,(X),(X),(X),(X),19.6,9.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,5724,627,2998,403,2726,416,28.4,0.8,29,1.2,27.6,1.3,110,20.6,(X),(X),(X),(X),7.6,3,(X),(X),(X),(X),0.5,0.7,(X),(X),(X),(X),7.1,2.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,2696,417,1266,279,1430,272,31.5,1.4,31.1,1.4,32,2.3,88.5,24.2,(X),(X),(X),(X),10.2,5.2,(X),(X),(X),(X),1.5,1,(X),(X),(X),(X),8.7,5.3,(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X),2.2,(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,6188,563,3443,454,2745,310,34.5,0.9,35.1,2,34.2,1.4,125.4,21.1,(X),(X),(X),(X),25.7,5.1,(X),(X),(X),(X),3.7,1.8,(X),(X),(X),(X),22,4.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,62397,1899,29359,1582,33038,1311,37,1.2,36.1,2,38.5,1.7,88.9,6.4,(X),(X),(X),(X),31.8,1.9,(X),(X),(X),(X),17.7,1.6,(X),(X),(X),(X),14.1,1.3,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.7,(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,29396,1574,13414,1206,15982,1077,35.3,0.9,36.1,2.2,34.4,1.6,83.9,9.7,(X),(X),(X),(X),27,2.8,(X),(X),(X),(X),16,1.8,(X),(X),(X),(X),11,1.8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,51853,1605,26130,1022,25723,1148,40.3,1,41.8,0.7,37.3,1.5,101.6,5.7,(X),(X),(X),(X),28.8,2,(X),(X),(X),(X),15.7,1.3,(X),(X),(X),(X),13.1,1.5,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.7,(X),(X),(X),(X),(X)
