GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,Actual_Mean_Income,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16
8600000US11023,11023,ZCTA5 11023,2668,262,1831,209,837,166,(X),(X),72896,10370,51263,4011,108306,13188,127660,19011,65968,11935
8600000US11024,11024,ZCTA5 11024,1910,276,1389,221,521,128,(X),(X),63185,8592,60647,11131,105026,16184,113398,20442,82707,20802
8600000US11030,11030,ZCTA5 11030,5347,346,3461,246,1886,234,(X),(X),135114,20805,77177,7905,189055,15564,233906,20808,106750,13484
8600000US11040,11040,ZCTA5 11040,15053,651,8401,401,6652,406,(X),(X),75180,4855,57302,4752,81962,3722,94342,5725,66327,3572
8600000US11042,11042,ZCTA5 11042,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US11050,11050,ZCTA5 11050,10118,525,6112,356,4006,317,(X),(X),93887,9436,62500,6080,137021,11514,164622,15884,94909,10959
8600000US11096,11096,ZCTA5 11096,2199,314,1391,249,808,150,(X),(X),50175,6324,38167,1745,53700,6702,58529,9373,45386,6710
8600000US11101,11101,ZCTA5 11101,10324,721,5841,551,4483,398,(X),(X),60098,7136,49976,6429,77572,4947,88082,8162,63880,4080
8600000US11102,11102,ZCTA5 11102,13681,740,7818,472,5863,492,(X),(X),50753,2517,51461,2524,61116,2644,62602,3449,59136,3979
8600000US11103,11103,ZCTA5 11103,18160,767,10373,612,7787,550,(X),(X),51281,1147,50067,3851,58620,2414,60225,2994,56482,3444
8600000US11104,11104,ZCTA5 11104,11402,842,6571,583,4831,489,(X),(X),47787,2945,48570,4105,59757,3269,61888,4548,56858,4051
8600000US11105,11105,ZCTA5 11105,15683,733,8579,566,7104,444,(X),(X),51434,1478,53516,3201,63884,2956,65118,4243,62395,3916
8600000US11106,11106,ZCTA5 11106,16008,930,8866,742,7142,614,(X),(X),55578,3017,48683,3794,62284,2701,64686,3959,59303,4313
8600000US11109,11109,ZCTA5 11109,2924,411,1638,278,1286,230,(X),(X),112098,8366,100379,22108,130521,10748,138456,15031,120413,13367
8600000US11201,11201,ZCTA5 11201,25312,805,13733,575,11579,545,(X),(X),102343,1795,83660,2923,133127,5467,154339,8154,107968,7042
8600000US11203,11203,ZCTA5 11203,24996,828,11329,556,13667,568,(X),(X),45407,2609,41307,808,48620,1111,50435,2050,47114,1442
8600000US11204,11204,ZCTA5 11204,22064,821,13036,582,9028,529,(X),(X),40960,1363,41110,1661,52730,1997,55270,2905,49061,2188
8600000US11205,11205,ZCTA5 11205,12812,614,6553,438,6259,444,(X),(X),46664,6467,51839,3265,66320,3954,68399,6012,64143,3536
8600000US11206,11206,ZCTA5 11206,23312,1128,12782,790,10530,716,(X),(X),41125,1104,38591,2354,49252,2770,52871,4391,44858,3130
8600000US11207,11207,ZCTA5 11207,27219,1064,13682,653,13537,788,(X),(X),38353,2999,35629,1022,43290,1164,45856,1957,40695,1236
8600000US11208,11208,ZCTA5 11208,29311,1187,15146,817,14165,751,(X),(X),36296,1156,35716,1043,42385,1168,43277,1556,41432,1642
8600000US11209,11209,ZCTA5 11209,25384,959,14144,697,11240,569,(X),(X),62091,2627,60590,1724,76284,2219,82429,3302,68551,2408
8600000US11210,11210,ZCTA5 11210,22315,775,10926,537,11389,533,(X),(X),46479,2496,41667,858,58009,2426,65531,4142,50794,2391
8600000US11211,11211,ZCTA5 11211,33467,1163,18698,761,14769,899,(X),(X),64630,4262,53804,2216,79250,2695,87577,4196,68709,2654
8600000US11212,11212,ZCTA5 11212,21713,1105,9032,780,12681,728,(X),(X),36180,3085,34380,2306,43832,3059,43826,3343,43836,4647
8600000US11213,11213,ZCTA5 11213,19669,830,9636,519,10033,572,(X),(X),42491,2182,36606,1328,48483,2135,53191,3439,43962,2362
8600000US11214,11214,ZCTA5 11214,30024,1033,17310,699,12714,634,(X),(X),42485,3533,40824,1182,53671,1775,56767,2776,49456,1624
8600000US11215,11215,ZCTA5 11215,31634,1036,16860,729,14774,655,(X),(X),81933,4014,72116,2983,108009,4421,120557,6644,93690,4625
