GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
8600000US10501,10501,ZCTA5 10501,1217,269
8600000US10502,10502,ZCTA5 10502,5346,226
8600000US10503,10503,ZCTA5 10503,158,64
8600000US10504,10504,ZCTA5 10504,7960,333
8600000US10505,10505,ZCTA5 10505,638,209
8600000US10506,10506,ZCTA5 10506,5448,443
8600000US10507,10507,ZCTA5 10507,6801,651
8600000US10509,10509,ZCTA5 10509,20209,678
8600000US10510,10510,ZCTA5 10510,10166,403
8600000US10511,10511,ZCTA5 10511,2260,218
8600000US10512,10512,ZCTA5 10512,24778,846
8600000US10514,10514,ZCTA5 10514,13256,604
8600000US10516,10516,ZCTA5 10516,5223,327
8600000US10517,10517,ZCTA5 10517,622,238
8600000US10518,10518,ZCTA5 10518,1390,301
8600000US10519,10519,ZCTA5 10519,166,145
8600000US10520,10520,ZCTA5 10520,13113,512
8600000US10522,10522,ZCTA5 10522,10948,31
8600000US10523,10523,ZCTA5 10523,8029,466
8600000US10524,10524,ZCTA5 10524,4488,335
8600000US10526,10526,ZCTA5 10526,1571,211
8600000US10527,10527,ZCTA5 10527,1145,268
8600000US10528,10528,ZCTA5 10528,12692,584
8600000US10530,10530,ZCTA5 10530,11891,667
8600000US10532,10532,ZCTA5 10532,5074,391
8600000US10533,10533,ZCTA5 10533,7662,335
8600000US10535,10535,ZCTA5 10535,796,359
8600000US10536,10536,ZCTA5 10536,10719,600
8600000US10537,10537,ZCTA5 10537,2242,510
8600000US10538,10538,ZCTA5 10538,16673,434
8600000US10541,10541,ZCTA5 10541,26643,688
8600000US10543,10543,ZCTA5 10543,20157,338
8600000US10545,10545,ZCTA5 10545,126,81
8600000US10546,10546,ZCTA5 10546,1092,250
8600000US10547,10547,ZCTA5 10547,7421,715
8600000US10548,10548,ZCTA5 10548,3089,302
8600000US10549,10549,ZCTA5 10549,15798,519
8600000US10550,10550,ZCTA5 10550,36804,1023
8600000US10552,10552,ZCTA5 10552,20815,955
8600000US10553,10553,ZCTA5 10553,9895,724
8600000US10560,10560,ZCTA5 10560,4786,221
8600000US10562,10562,ZCTA5 10562,31502,443
8600000US10566,10566,ZCTA5 10566,23702,52
8600000US10567,10567,ZCTA5 10567,20241,777
8600000US10570,10570,ZCTA5 10570,12735,551
8600000US10573,10573,ZCTA5 10573,38429,121
8600000US10576,10576,ZCTA5 10576,4948,333
8600000US10577,10577,ZCTA5 10577,5823,538
8600000US10578,10578,ZCTA5 10578,534,159
8600000US10579,10579,ZCTA5 10579,8969,477
8600000US10580,10580,ZCTA5 10580,17241,213
8600000US10583,10583,ZCTA5 10583,39601,978
8600000US10588,10588,ZCTA5 10588,2389,598
8600000US10589,10589,ZCTA5 10589,9158,426
8600000US10590,10590,ZCTA5 10590,6926,500
8600000US10591,10591,ZCTA5 10591,22890,377
8600000US10594,10594,ZCTA5 10594,5020,392
8600000US10595,10595,ZCTA5 10595,8407,513
8600000US10596,10596,ZCTA5 10596,1270,264
8600000US10597,10597,ZCTA5 10597,1233,482
8600000US10598,10598,ZCTA5 10598,29234,659
8600000US10601,10601,ZCTA5 10601,10623,670
8600000US10603,10603,ZCTA5 10603,18142,1021
8600000US10604,10604,ZCTA5 10604,11863,801
8600000US10605,10605,ZCTA5 10605,18337,847
8600000US10606,10606,ZCTA5 10606,16632,956
8600000US10607,10607,ZCTA5 10607,7098,816
8600000US10701,10701,ZCTA5 10701,61167,1872
8600000US10703,10703,ZCTA5 10703,20390,1267
8600000US10704,10704,ZCTA5 10704,30516,1297
8600000US10705,10705,ZCTA5 10705,39924,1667
8600000US10706,10706,ZCTA5 10706,8555,152
8600000US10707,10707,ZCTA5 10707,10479,415
8600000US10708,10708,ZCTA5 10708,21809,915
8600000US10709,10709,ZCTA5 10709,9303,595
8600000US10710,10710,ZCTA5 10710,26432,966
8600000US10801,10801,ZCTA5 10801,41093,1136
8600000US10803,10803,ZCTA5 10803,12439,42
8600000US10804,10804,ZCTA5 10804,15096,787
8600000US10805,10805,ZCTA5 10805,18138,1017
8600000US10901,10901,ZCTA5 10901,22875,821
8600000US10910,10910,ZCTA5 10910,26,40
8600000US10911,10911,ZCTA5 10911,0,12
8600000US10913,10913,ZCTA5 10913,5175,421
8600000US10914,10914,ZCTA5 10914,224,189
8600000US10915,10915,ZCTA5 10915,158,136
8600000US10916,10916,ZCTA5 10916,4446,317
8600000US10917,10917,ZCTA5 10917,1808,344
8600000US10918,10918,ZCTA5 10918,12043,702
8600000US10919,10919,ZCTA5 10919,1346,413
8600000US10920,10920,ZCTA5 10920,8744,407
8600000US10921,10921,ZCTA5 10921,3926,293
8600000US10922,10922,ZCTA5 10922,1355,253
8600000US10923,10923,ZCTA5 10923,8797,743
8600000US10924,10924,ZCTA5 10924,13141,492
8600000US10925,10925,ZCTA5 10925,4446,361
8600000US10926,10926,ZCTA5 10926,3354,481
8600000US10927,10927,ZCTA5 10927,11952,36
8600000US10928,10928,ZCTA5 10928,4033,93
8600000US10930,10930,ZCTA5 10930,9050,435
8600000US10931,10931,ZCTA5 10931,950,180
8600000US10932,10932,ZCTA5 10932,106,127
8600000US10933,10933,ZCTA5 10933,819,309
8600000US10940,10940,ZCTA5 10940,47833,1173
8600000US10941,10941,ZCTA5 10941,13959,720
8600000US10950,10950,ZCTA5 10950,47611,912
8600000US10952,10952,ZCTA5 10952,40193,1478
8600000US10953,10953,ZCTA5 10953,162,96
8600000US10954,10954,ZCTA5 10954,23550,987
8600000US10956,10956,ZCTA5 10956,30909,877
8600000US10958,10958,ZCTA5 10958,3030,454
8600000US10960,10960,ZCTA5 10960,15476,605
8600000US10962,10962,ZCTA5 10962,6166,680
8600000US10963,10963,ZCTA5 10963,4260,375
8600000US10964,10964,ZCTA5 10964,1791,321
8600000US10965,10965,ZCTA5 10965,14794,640
8600000US10968,10968,ZCTA5 10968,2302,145
8600000US10969,10969,ZCTA5 10969,1674,409
8600000US10970,10970,ZCTA5 10970,9670,712
8600000US10973,10973,ZCTA5 10973,2789,476
8600000US10974,10974,ZCTA5 10974,3149,63
8600000US10975,10975,ZCTA5 10975,238,111
8600000US10976,10976,ZCTA5 10976,2134,374
8600000US10977,10977,ZCTA5 10977,60293,1322
8600000US10979,10979,ZCTA5 10979,174,169
8600000US10980,10980,ZCTA5 10980,13440,360
8600000US10983,10983,ZCTA5 10983,5537,482
8600000US10984,10984,ZCTA5 10984,3317,377
8600000US10985,10985,ZCTA5 10985,13,20
8600000US10986,10986,ZCTA5 10986,2103,334
8600000US10987,10987,ZCTA5 10987,3364,109
8600000US10988,10988,ZCTA5 10988,819,258
8600000US10989,10989,ZCTA5 10989,9868,693
8600000US10990,10990,ZCTA5 10990,20139,580
8600000US10992,10992,ZCTA5 10992,9839,626
8600000US10993,10993,ZCTA5 10993,4678,523
8600000US10994,10994,ZCTA5 10994,7206,700
8600000US10996,10996,ZCTA5 10996,7013,241
8600000US10998,10998,ZCTA5 10998,2759,394
8600000US11001,11001,ZCTA5 11001,27001,756
8600000US11003,11003,ZCTA5 11003,43739,1692
8600000US11004,11004,ZCTA5 11004,14500,1253
8600000US11005,11005,ZCTA5 11005,2055,141
8600000US11010,11010,ZCTA5 11010,24394,979
8600000US11020,11020,ZCTA5 11020,6370,841
8600000US11021,11021,ZCTA5 11021,17467,466
8600000US11023,11023,ZCTA5 11023,9870,587
8600000US11024,11024,ZCTA5 11024,7555,467
8600000US11030,11030,ZCTA5 11030,17372,668
8600000US11040,11040,ZCTA5 11040,40231,910
8600000US11042,11042,ZCTA5 11042,544,220
8600000US11050,11050,ZCTA5 11050,30666,772
8600000US11096,11096,ZCTA5 11096,8276,872
8600000US11101,11101,ZCTA5 11101,25537,1276
8600000US11102,11102,ZCTA5 11102,34529,1645
8600000US11103,11103,ZCTA5 11103,37745,1200
8600000US11104,11104,ZCTA5 11104,25729,1245
8600000US11105,11105,ZCTA5 11105,36190,1245
8600000US11106,11106,ZCTA5 11106,36869,1444
8600000US11109,11109,ZCTA5 11109,3524,387
8600000US11201,11201,ZCTA5 11201,54668,1441
8600000US11203,11203,ZCTA5 11203,79572,2087
8600000US11204,11204,ZCTA5 11204,80963,2156
8600000US11205,11205,ZCTA5 11205,43002,1540
8600000US11206,11206,ZCTA5 11206,81525,2239
8600000US11207,11207,ZCTA5 11207,92491,2226
8600000US11208,11208,ZCTA5 11208,93107,2480
8600000US11209,11209,ZCTA5 11209,72623,1821
8600000US11210,11210,ZCTA5 11210,65302,1886
8600000US11211,11211,ZCTA5 11211,93271,1873
8600000US11212,11212,ZCTA5 11212,84520,2256
8600000US11213,11213,ZCTA5 11213,62059,1899
8600000US11214,11214,ZCTA5 11214,83156,2367
8600000US11215,11215,ZCTA5 11215,68891,1736
8600000US11216,11216,ZCTA5 11216,53783,1867
8600000US11217,11217,ZCTA5 11217,38787,1304
8600000US11218,11218,ZCTA5 11218,74758,2161
8600000US11219,11219,ZCTA5 11219,96971,2996
8600000US11220,11220,ZCTA5 11220,103089,2894
8600000US11221,11221,ZCTA5 11221,81321,2528
8600000US11222,11222,ZCTA5 11222,34186,1327
8600000US11223,11223,ZCTA5 11223,74606,1998
8600000US11224,11224,ZCTA5 11224,42535,1512
8600000US11225,11225,ZCTA5 11225,59182,2147
8600000US11226,11226,ZCTA5 11226,98325,3174
